text,label
O produto deverá simular a aparência de navios no mar.,non_functional
O sistema permitirá que o usuário se cadastre em newsletters e pesquisas no perfil.,functional
O Subsistema PME permitirá manter os submenus dentro dos menus e os produtos dentro dos submenus de forma gerenciada e persistente.,functional
A fonte será maior o suficiente para facilitar a leitura.,functional
Washing parameters will be updated during scheduled maintenance hours.,non_functional
Uma seguradora não poderá visualizar os dados de sinistros de outra seguradora.,non_functional
System will allow customers to pay for a streaming movie with a pre-paid card.,functional
O sistema permitirá ao usuário selecionar o tipo de suporte que deseja.,functional
The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,non_functional
O sistema permitirá ao iniciador cancelar quaisquer reuniões que tenha iniciado.,functional
User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..,non_functional
O produto deve ter um esquema de cores e fontes consistentes.,non_functional
O Administrador Izogn deve ser capaz de atualizar as listagens de categorias no site em 2 minutos.,non_functional
O sistema permitirá ao usuário selecionar a opção de financiamento.,functional
The RFS system should be able to easily interface with the BDW environment  in order to load the data. 7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process  every year. The data will be as of October month-end. 	Test files (7) shall be loaded up to 5 times throughout the year  from the BDW.,non_functional
Permita que um usuário visualize perguntas e suas respostas correspondentes.,functional
O sistema deve gerar um relatório de auditoria com base nas peças recicladas disponíveis e na estimativa de colisão.,functional
The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,non_functional
The realtor shall be able to retrieve a map showing property locations for a specified area,functional
O sistema deverá exibir os Eventos em uma tabela vertical por tempo.,functional
O produto deve ser capaz de interagir com vários servidores de e-mail. O produto deverá ser capaz de enviar e-mail.,non_functional
The intranet pages should display appropriately in all resolutions  from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions  prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.,non_functional
Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,functional
The user interface shall have standard menus buttons for navigation,non_functional
The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.,functional
"O produto deve funcionar com a maioria dos sistemas de gerenciamento de banco de dados (SGBD) do mercado, esteja o SGBD localizado com o produto na mesma máquina ou em uma máquina diferente na rede de computadores.",non_functional
O sistema de agendamento de reuniões pode incluir uma agenda para uma proposta de reunião.,functional
O produto deve ser independente do navegador de Internet. O produto deve ser executado usando o Internet Explorer e o Netscape Navigator.,non_functional
The product shall continue to operate during upgrade  change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,non_functional
O sistema permitirá que o usuário insira o número de contato para o pessoal de suporte ligar.,functional
O recurso de pesquisa do sistema deve suportar o uso de expressões regulares na pesquisa.,functional
The product shall record all the equipment that has been reserved.,functional
The system shall enable the user to enter their reviews and ratings.,functional
The product shall have the ability to send meeting reminders to employees.,functional
poderá transmitir filmes comprados via Windows Media Player por até 2 dias após a data de compra.,functional
Os resultados da pesquisa de peças recicladas fornecidos ao estimador devem ser recuperados pelo sistema.,functional
The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.,non_functional
The product shall make inactive players unavailable for selection from the list of players.,functional
O sistema permitirá que o administrador desative uma conta de cliente em menos de 1 minuto. O cliente não poderá mais acessar o site.,non_functional
O produto permitirá que um organizador convide outros funcionários para reuniões.,functional
The system shall enable user to navigate between the search results.,functional
O produto deverá ser suportado através do centro de suporte corporativo.,non_functional
System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,non_functional
Enable a logged in user to post answers.,functional
O produto deverá sincronizar com o sistema do escritório a cada hora.,non_functional
As informações sobre peças recicladas disponíveis e seus fornecedores serão devolvidas ao usuário.,functional
The system shall validate the amount is available in the user’s account before releasing funds to the user.,functional
Most of the system functions will be controlled using the administrative interface.,functional
It should not take more than 90 seconds for a registered user to place an order.,non_functional
The product shall continue to assign turns until the game is ended.,functional
A confiabilidade do programa geral depende da confiabilidade dos componentes separados. O principal pilar da fiabilidade do sistema é o backup da base de dados que é continuamente mantida e atualizada para refletir as alterações mais recentes.,non_functional
"O processo deve se enquadrar nas condições de tempo de processamento estabelecidas pelo processo de atribuição de representante automático, no qual um lead é atribuído dentro de 3 minutos do ciclo de vida total.",non_functional
"Os Administradores do Programa/Membros da Equipe de Enfermagem terão a capacidade de modificar as informações relacionadas a um Programa de Estudo dentro do Departamento de Enfermagem, incluindo o nome do Programa de estudo e as aulas exigidas para esse Programa de Estudo.",functional
O sistema WCS deverá ser executado em ambiente Windows. O WCS será acessado pelos usuários através da Internet em um computador IBM executando um sistema operacional Windows 2000 ou superior.,non_functional
Only authorized personnel can access customer records in the database.,non_functional
O sistema deve levar o nome do cliente.,functional
O sistema exibirá os pedidos elegíveis para alteração.,functional
Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.,functional
"No início de cada turno, o produto notificará cada jogador sobre seu status.",functional
O produto estará disponível para distribuição como um CD embalado.,non_functional
O produto deve fornecer suporte a mudanças dinâmicas e adição transparente de recursos. O produto deve oferecer suporte à adição de recursos transparentes e suporte a mudanças dinâmicas para fornecer escalabilidade e evitar interrupções de serviço de mais de 1 dia.,non_functional
Os administradores do programa e os membros da equipe de enfermagem poderão adicionar um novo centro clínico ao sistema.,functional
When both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn.,functional
A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,functional
O sistema WCS deve executar consultas aos bancos de dados WCS mais uma vez (em um dia especificado) para atualizar os dados disponíveis aos usuários do CCR. As consultas devem ser feitas em bancos de dados externos para atualização de dados uma vez por semana.,non_functional
O relatório de auditoria deve ser exibido ao usuário.,functional
A parte Brio do sistema WCS deve ser capaz de exportar arquivos em formato de planilha (formatos Microsoft Excel e Lotus 1-2-3).  A Brio fornecerá botões na interface do usuário que produzem/exportam relatórios nos formatos de arquivo .xls ou .123.,non_functional
The product shall be available 24 hours per day  seven days per week.,non_functional
O sistema permitirá que o iniciador visualize as informações de quaisquer reuniões que ele iniciou.,functional
O cliente deve concordar com o EULA antes de usar nosso software.,non_functional
Acompanhe todas as transações de pagamento realizadas pelos clientes e atualize as informações de pagamento.,functional
O sistema confirmará todas as transações com o navegador do cliente.,non_functional
The product shall comply with the estimatics laws relating to recycled parts usage.,non_functional
The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems’ data shall remain 100% uncorrupted each time malicious data is input into the product.,non_functional
"O sistema RMS terá a aparência do Windows XP e usará GUI futuramente, tornando seu uso intuitivo.",functional
The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.,non_functional
The system will provide a 24 hour 800 toll free number for support to its customers.,non_functional
O sistema sinalizará os tablets que não conseguem enviar mensagens de keep-alive em tempo hábil como não operacionais e desassociará o atendente designado do tablet.,non_functional
PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,functional
Website shall allow customers to view reviews of selected movies by other customers.,functional
Será necessário um servidor seguro para garantir a confidencialidade do cartão de crédito do cliente e outros detalhes.,non_functional
O sistema desconectará automaticamente todos os clientes após um período de inatividade.,non_functional
The system shall support the ability to perform a receive only operation.,functional
All information must be viewable on the website.,functional
O servidor de streaming terá software antivírus para prevenir a infecção de vírus maliciosos.,non_functional
O sistema deverá ser utilizado dentro das especificações definidas pelos computadores utilizados pelos Administradores do Programa/Enfermeiros.,non_functional
The System shall be able to automatically backup business data and restore them on demand.,non_functional
Deve permitir que um usuário baixe um backup de suas informações médicas.,functional
The system shall display tax information for the order.,functional
O sistema permitirá que os clientes se registrem no site como usuário “pré-pago” em menos de 5 minutos.,non_functional
O médico/farmacêutico deverá possuir um login de usuário válido para acessar o sistema.,functional
Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,non_functional
O relatório de auditoria deve incluir a porcentagem de peças recicladas disponíveis usadas na estimativa,functional
O sistema permitirá ao usuário criar perfil e definir sua credencial.,functional
The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,non_functional
Cada conta deve armazenar com segurança todos os seus dados.,non_functional
The system shall show a tabbed display (or equivalent functionality) with the campus map on one tab and info on the most recently announced building on the other.,non_functional
"O aplicativo Disputas estará disponível 24 horas por dia, 7 dias por semana, 365 dias por ano, com exceção das seguintes janelas de manutenção programada.  Segunda a sábado, das 3h às 4h EST Domingo, da 1h às 5h EST",non_functional
The system shall allow a user to define the time segments,functional
Daily usage statistics should be logged  and accessible by the administrator.,functional
The system shall be able to call the seller or buyer to schedule an appointment,functional
Only administrators can activate a pre-paid card.,non_functional
The system shall be responsive. At the DePaul TeleServices Center  when a supervisor uses the system to view a callers schedule  the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,non_functional
The system shall allow users to search  for available distributed location templates(if any).,functional
The user must be able to add photos from his/her photo library to his/her medical record.,functional
O sistema deve usar uma interface apontar e clicar. 100% de todas as funcionalidades de seleção e navegação devem poder ser ativadas/selecionadas por um mouse ou teclado,non_functional
The product shall allow for intuitive searching of available conference rooms.,non_functional
The system shall automatically log out all customers after a period of inactivity.,non_functional
"Assim que o jogo for iniciado, o produto exibirá uma grade ofensiva para cada jogador.",functional
The system shall use the organization’s standard virus protection software to help monitor threats to itself.,non_functional
O relatório de auditoria deve incluir o número total de peças recicladas utilizadas na estimativa.,functional
O sistema permitirá ao usuário adicionar/remover produtos do carrinho de compras.,functional
The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player’s ships  which had not been previously marked as sunk.,functional
O produto deverá sincronizar contatos e compromissos em um horário aceitável.,non_functional
The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,non_functional
O produto e/ou bancos de dados/sistemas de arquivos dependentes permanecerão operacionais como resultado da entrada de dados maliciosos.  O produto e/ou bancos de dados/sistemas de arquivos dependentes não devem travar 100% do tempo em que dados maliciosos são inseridos no produto.,non_functional
When the hit results in sinking a ship  the product shall notify the players that the ship was sunk.,functional
A display shall not require a user to log in.,non_functional
Os dados exibidos nos nós do gráfico e nas linhas da tabela são dados de resumo MSEL,functional
"Quando um jogo termina, o produto notificará os jogadores de que o jogo terminou.",functional
The system shall allow the user to scroll the campus map from the campus map tab.,non_functional
A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,functional
O produto deve exibir as grades dentro de um círculo como uma visão de um periscópio.,non_functional
O sistema de agendamento de reuniões pode incluir uma lista de equipamentos necessários para uma proposta de reunião.,functional
O produto deverá utilizar símbolos e palavras naturalmente compreensíveis pela comunidade de corretores de imóveis.,non_functional
New System version releases shall be released at the beginning of each NFL season.,non_functional
The website should cater to all tribes in Nigeria.,non_functional
"O sistema deve ser capaz de restaurar o seu estado anterior em caso de falha (por exemplo, falha do sistema ou perda de energia).",non_functional
O produto poderá ser instalado em qualquer ambiente operacional dentro de 2 dias.,non_functional
System shall let customers register on the website as a “pay as you go” user in under 5 minutes.,non_functional
O cliente poderá verificar o status do seu cartão pré-pago inserindo o número PIN em menos de 5 segundos.,non_functional
O Sistema deverá permitir que no mínimo 6 usuários trabalhem ao mesmo tempo.,non_functional
The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,non_functional
The leads washing functionality will have an interface in which lead data parameters can be maintained.,functional
O estimador deverá pesquisar por CEP em um raio de 30 milhas se nenhuma peça for encontrada para os fornecedores de peças preferenciais,functional
The entire website must be user-friendly and easily navigable. The website must be provided with a site map for quick access to a particular link according to the requirement specification. The user must be able to find what he/she wants from the site without any difficulty. The website must adhere to branding schemes and the layout of the web pages must be uniform throughout,non_functional
The RFS system should be available 24/7  especially during the budgeting period. The RFS system shall be available 90% of the time all year  and 98% during the budgeting period. 2% of the time  the system will become available within 1 hour of the time that the situation is reported.,non_functional
The product shall allow a player to position ships horizontally on their grid.,functional
O sistema deve oferecer a capacidade de pausar e retomar a atualização dos dados.,functional
O servidor de streaming suportará 50 conexões de streaming simultâneas.,non_functional
The system shall be used by realtors with no training.,non_functional
O produto evitará que o jogador sobreponha navios em sua grade.,functional
Provide an interface for the admin to approve posts so that posts are not visible without admin approval.,functional
Espera-se que o produto opere dentro do orçamento máximo de manutenção por um período mínimo de 2 anos.,non_functional
O sistema codificará os eventos por cores de acordo com sua variação em relação ao horário atual.,functional
Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,functional
Enable new users to register to the tech support system.,functional
The Disputes application shall ensure that only authorized users are allowed to logon to the application.,non_functional
The product must support Mozilla Firefox 1.0 and above.,non_functional
The system shall use secure sockets in all transactions that include any confidential customer information.,non_functional
O produto será atualizado regularmente. O produto terá um novo recurso importante introduzido a cada seis meses e lançamentos de manutenção trimestrais a cada seis meses.,non_functional
O Sistema de Disputas evitará a criação de solicitações de disputa duplicadas em 100% das vezes.,functional
Somente clientes registrados podem comprar filmes em streaming.,non_functional
The product shall be able support 1000 simultaneous users.,non_functional
The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.,non_functional
O aplicativo deve ser capaz de suportar 100 usuários simultâneos sem qualquer degradação de desempenho.,non_functional
Consult with the Administrator about the payment details of the customers for the updating of the database.,functional
O sistema enviará uma confirmação do pedido ao usuário por e-mail.,functional
O sistema deverá interagir com o servidor central do corpo docente.,non_functional
As informações do centro clínico incluirão (mas não se limitarão a) o nome da pessoa de contato do centro e informações de contato.,functional
Uma pesquisa anônima mostrará que 70% dos clientes se sentem confortáveis ​​em comprar filmes em streaming após 2 semanas de uso do site.,non_functional
O tempo de resposta deve ser rápido o suficiente para manter o fluxo do jogo.  O tempo de resposta não deve ser superior a 2 segundos para 95% das respostas e não superior a 4% para as restantes respostas.,non_functional
O sistema deve ser intuitivo e simples na forma como exibe todos os dados e relacionamentos relevantes.,non_functional
O produto deve reter as preferências e informações de compra do cliente.,non_functional
A waiter that attempts to log into a second tablet while already logged into another tablet shall be rejected and notified through both tablets.,non_functional
The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,non_functional
When a ship is sunk  the product shall simulate the sound of a sinking ship.,non_functional
Movies shall be encoded for 56k and 256k streams.,non_functional
O sistema estará disponível para uso entre 8h e 18h.,non_functional
Can consult with the Administrator regarding product’s quality and advertisements.,functional
O sistema deve fornecer o uso de ícones e barras de ferramentas.,non_functional
The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,non_functional
The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product’s software code.,non_functional
"A interface deve ter uma aparência simples. Na pesquisa de interface e usabilidade, 90% dos testadores beta devem informar que a interface é adequadamente simples.",non_functional
The system shall be available for use between the hours of 8am and 6pm.,non_functional
The user shall be able to download appointments and contact information for clients,functional
Todo o código-fonte e documentos relacionados ao desenvolvimento devem ser controlados por um sistema de controle de versão.,non_functional
Product formulas shall allow use of semi-products  which have own formulas.,functional
The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.,non_functional
The system shall enable user to select the shipping method during payment process.,functional
The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,functional
2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,non_functional
O sistema vinculará os eventos de volta aos aplicativos Sync Matrix 1.0 ou Exercise Management Tool 1.0 para modificações.,functional
O produto deverá atingir um tempo de atividade de 98%. O produto não deverá falhar mais de 2% do tempo online disponível.,non_functional
The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,non_functional
All of the users shall be able to use the system after one day of training.,non_functional
The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,functional
Only users with Update access must be able to initiate dispute requests.,non_functional
O produto deve garantir que só possa ser acessado por usuários autorizados.  O produto será capaz de distinguir entre usuários autorizados e não autorizados em todas as tentativas de acesso,non_functional
O sistema deve ser construído de modo a ser o mais seguro possível contra interferências maliciosas.,non_functional
O administrador poderá ativar um cartão pré-pago através da seção Administração em menos de 5 segundos.,non_functional
O sistema deve ser capaz de gerenciar todas as informações provenientes do banco de dados e do catálogo.,non_functional
The software is available for use from the supermarket opening time to the closing time.,non_functional
Somente corretores de imóveis cadastrados poderão acessar o sistema.,non_functional
Cada página deverá conter um menu de navegação que mostra o índice no qual a página atual está contida.,non_functional
The system shall allow user to enter the contact number for support personnel to call.,functional
O sistema deve ter uma aparência profissional,non_functional
The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.,non_functional
O produto exibirá um status disponível para salas de conferência não reservadas.,functional
The product shall allow the user to view previously downloaded search results CMA reports  and appointments.,non_functional
Os clientes devem ter um ID de login válido para entrar no site.,non_functional
The system shall notify the user about any changes made to the order.,functional
Para cada jogada o produto deverá permitir ao jogador atacante definir um arremesso.,functional
Staff members shall be able to complete a set of tasks in a timely manner.,non_functional
O sistema exibirá apenas 10 resultados correspondentes na tela atual.,functional
O sistema permitirá ao mediador negociar a data da reunião.,functional
"Em uma conexão de 112k ou mais rápida, o tempo de resposta do sistema para todas as operações não deve ser superior a 3 segundos em 90% do tempo.",non_functional
"O produto deverá permitir a entrada, armazenamento e modificação dos menus de produtos utilizados pelos terminais POS.",functional
"Pode fornecer feedback ao centro de atendimento ao cliente 24 horas por dia, 7 dias por semana, sobre sua impressão do site e dos serviços.",functional
The system shall be compatible with IIS6.0 and above or  Apache 2.0 and above.,non_functional
O produto permitirá que um usuário se retire da lista de jogadores a qualquer momento.,functional
The system shall have a professional appearance,non_functional
Um novo usuário poderá navegar pelas páginas da liga e dos times dentro de 30 segundos após chegar à página inicial.,non_functional
Each user shall either be trusted or not trusted.,non_functional
The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.,non_functional
O produto deve ser fácil de aprender por Ajustadores e Estimadores de Colisão.  O produto será aprendido com dois dias de treinamento no local,non_functional
The performance shall depend upon hardware components of the client/customer.,non_functional
"A interface do produto deve ser rápida. O tempo de resposta da interface do produto não deve exceder 2 segundos em 90% do tempo. Durante 10% do tempo, o tempo de resposta não deve ser superior a 10 segundos.",non_functional
"Se o arremesso foi marcado como errado, o produto mudará o status do jogador ofensivo para defensivo",functional
O produto deve garantir que apenas os supervisores possam anunciar horários vazios. O produto deve garantir que os supervisores tenham permissão para acessar os horários vazios.,non_functional
The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,functional
O produto deverá estar em conformidade com a Estrutura do Guia de Desenvolvimento de Aplicativos da cidade de Chicago. A Estrutura de Desenvolvimento de Aplicativos fornecerá uma interface gráfica de usuário estruturada.,non_functional
The product shall operate in offline mode whenever internet connection is unavailable.,non_functional
The product will update existing room equipment.,functional
Only the System Administrator shall be able to reset a revoked user logon account,non_functional
The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.,non_functional
Product shall allow entering  storing and modifying product menus used by POS terminals.,functional
O sistema exibirá as informações detalhadas sobre o pedido selecionado.,functional
O produto deve ser projetado usando padrões de design e práticas recomendadas de codificação.  90% dos desenvolvedores de software de manutenção conseguem integrar novas funcionalidades ao produto em 2 dias úteis.,non_functional
The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group  prior to implementation. The remaining 5% will be corrected and approved within one month of product release.,non_functional
Todas as informações do cartão de crédito serão protegidas no servidor e acessíveis apenas por administradores autorizados da Izogn.  As informações serão criptografadas no banco de dados.,non_functional
The System shall utilize currently owned computer equipment.,non_functional
The system’s back-end servers shall never display a customer’s password.  The customer’s password may be reset but never shown.,non_functional
The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats).  Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.,non_functional
When the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,functional
O sistema deverá ser utilizado por corretores de imóveis sem treinamento.,non_functional
O sistema deverá ser intuitivo para os Administradores do Programa/Equipe de Enfermagem.,non_functional
The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,functional
The system shall notify the user when no matching product is found on the search.,functional
"Uma lista de todos os casos de disputas que atendem aos critérios de pesquisa inseridos deve ser fornecida ao usuário.  A lista de casos deve diferenciar o tipo e/ou status do caso codificando por cores o item de linha na lista.  Por exemplo, todos os casos abertos serão amarelos e todos os casos fechados serão cinzentos.",functional
O usuário deve ser capaz de adicionar fotos de sua biblioteca de fotos ao seu prontuário médico.,functional
O sistema exibirá as FAQ's mediante solicitação.,functional
O Sistema utilizará equipamentos de informática de propriedade atual.,non_functional
O sistema permitirá que o Izogn Manager acesse estatísticas de vendas e uso em menos de 2 minutos.,non_functional
Os relatórios devem ser fáceis de gerar. Os relatórios devem ser gerados com um clique de botão e exportados com um clique de botão (após selecionar o relatório),non_functional
O produto deverá registrar diferentes tipos de reuniões.,functional
A recriação do Ajuste de Quantidade de Estoque para o período dos 30 dias anteriores não levará mais que 30 minutos.,non_functional
O sistema permitirá ao mediador enviar e receber mensagens dos usuários.,functional
Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,non_functional
All users of the system shall login using some form of unique identification.,non_functional
"Todas as alterações, atualizações e adições ao sistema WCS devem ser atualizadas nos Guias do Desenvolvedor WCS e do Usuário WCS. Cada mudança deve ser refletida na documentação do sistema WCS",non_functional
A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.,functional
O sistema fornecerá uma opção para sacar dinheiro.,functional
Somente pessoal autorizado pode acessar os registros dos clientes no banco de dados.,non_functional
Todos (interessados ​​e convidados) podem ter acesso ao sistema e ao catálogo. Todo cliente deve ter acesso seguro e privado aos seus dados. O técnico e o técnico podem ter acesso a todas as partes do sistema. Todos estes acessos (exceto o acesso “guest tour”) carecem de identificação através de ID e palavra-passe.,non_functional
The customer’s web browser shall never display a customer’s credit card number after retrieving from the database.  It shall always be shown with just the last 4 digits of the credit card number.,non_functional
The product will allow priviledged users to view meeting schedules in multiple reporting views.,functional
Os ingredientes da fórmula do produto deverão permitir a definição de ingredientes substitutivos.,functional
O site deve estar totalmente operacional com o MSN TV2.,non_functional
The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,functional
Cada usuário deve ser confiável ou não confiável.,non_functional
Uma mensagem de erro alerta quando um paciente inválido é inserido.,functional
Usuários não autorizados só podem ler dados sem modificar nada.,non_functional
The product shall record meeting entries.,functional
