,keyword,score,intent,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,keywords,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
10,digital organizational,0.66,Organizational Change,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,
11,turbulent digital business,0.59,Organizational Change,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,
12,digital business,0.67,Organizational Change,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,
13,wiley online library,0.06,Wiley Online Library,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,
14,digital transformation organizational,0.86,Organizational Change,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,
15,innovation mechanisms dt,0.38,Organizational Change,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,
16,organizational change used,0.43,Organizational Change,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,
17,organizational change explained,0.42,Organizational Change,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,
18,organizational processes change,0.4,Organizational Change,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,
19,organizational change process,0.45,Organizational Change,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,
20,,1.0,Digital Transformation,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,digital transformation,,,,,,,,,,,,,,,,,,,
21,,0.65,Innovation Digital,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.0,1.0,innovation digital,,,,,,,,,,,,,,,,,,,
22,,0.68,Innovation Digital,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,2.0,2.0,digital innovation,,,,,,,,,,,,,,,,,,,
23,,0.88,Digital Transformation,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,3.0,3.0,digital transformation business,,,,,,,,,,,,,,,,,,,
24,,0.22,Innovation Digital,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,4.0,4.0,business model iot,,,,,,,,,,,,,,,,,,,
25,,0.92,Digital Transformation,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,5.0,5.0,explore digital transformation,,,,,,,,,,,,,,,,,,,
26,,0.54,Innovation Digital,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,6.0,6.0,innovative businesses digital,,,,,,,,,,,,,,,,,,,
27,,0.92,Digital Transformation,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,7.0,7.0,ongoing digital transformation,,,,,,,,,,,,,,,,,,,
28,,0.62,Innovation Digital,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,8.0,8.0,embrace digital innovation,,,,,,,,,,,,,,,,,,,
29,,0.55,Innovation Digital,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,9.0,9.0,digital capabilities sme,,,,,,,,,,,,,,,,,,,
30,,0.11,Corporate Venture Capital,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,10.0,10.0,corporate venture capital,,,,,,,,,,,,,,,,,,,
31,,0.23,Innovation Digital,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,11.0,11.0,business model innova,,,,,,,,,,,,,,,,,,,
32,,0.62,Innovation Digital,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,12.0,12.0,businesses digital,,,,,,,,,,,,,,,,,,,
33,,0.3,Innovation Digital,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,13.0,13.0,service innovation capabilities,,,,,,,,,,,,,,,,,,,
34,,0.49,Innovation Digital,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,14.0,14.0,firm innovativeness digital,,,,,,,,,,,,,,,,,,,
35,,0.7,Digital Transformation,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,15.0,15.0,digital capabilities,,,,,,,,,,,,,,,,,,,
36,,0.5,Innovation Digital,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,16.0,16.0,digital innovation knowledge,,,,,,,,,,,,,,,,,,,
37,,0.25,Innovation Digital,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,17.0,17.0,business model innovation,,,,,,,,,,,,,,,,,,,
38,,0.3,Innovation Digital,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,18.0,18.0,dynamic capabilities theoretical,,,,,,,,,,,,,,,,,,,
39,,0.29,Corporate Venture Capital,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,19.0,19.0,financing disruptive technologies,,,,,,,,,,,,,,,,,,,
40,,1.0,Digital Transformation,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,20.0,0.0,digital transformation,0.0,,,,,,,,,,,,,,,,,,
41,,0.65,Innovation Digital,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,21.0,1.0,innovation digital,1.0,,,,,,,,,,,,,,,,,,
42,,0.68,Innovation Digital,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,22.0,2.0,digital innovation,2.0,,,,,,,,,,,,,,,,,,
43,,0.88,Digital Transformation,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,23.0,3.0,digital transformation business,3.0,,,,,,,,,,,,,,,,,,
44,,0.22,Innovation Digital,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,24.0,4.0,business model iot,4.0,,,,,,,,,,,,,,,,,,
45,,0.92,Digital Transformation,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,25.0,5.0,explore digital transformation,5.0,,,,,,,,,,,,,,,,,,
46,,0.54,Innovation Digital,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,26.0,6.0,innovative businesses digital,6.0,,,,,,,,,,,,,,,,,,
47,,0.92,Digital Transformation,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,27.0,7.0,ongoing digital transformation,7.0,,,,,,,,,,,,,,,,,,
48,,0.62,Innovation Digital,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,28.0,8.0,embrace digital innovation,8.0,,,,,,,,,,,,,,,,,,
49,,0.55,Innovation Digital,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,29.0,9.0,digital capabilities sme,9.0,,,,,,,,,,,,,,,,,,
50,,0.11,Corporate Venture Capital,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,30.0,10.0,corporate venture capital,10.0,,,,,,,,,,,,,,,,,,
51,,0.23,Innovation Digital,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,31.0,11.0,business model innova,11.0,,,,,,,,,,,,,,,,,,
52,,0.62,Innovation Digital,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,32.0,12.0,businesses digital,12.0,,,,,,,,,,,,,,,,,,
53,,0.3,Innovation Digital,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,33.0,13.0,service innovation capabilities,13.0,,,,,,,,,,,,,,,,,,
54,,0.49,Innovation Digital,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,34.0,14.0,firm innovativeness digital,14.0,,,,,,,,,,,,,,,,,,
55,,0.7,Digital Transformation,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,35.0,15.0,digital capabilities,15.0,,,,,,,,,,,,,,,,,,
56,,0.5,Innovation Digital,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,36.0,16.0,digital innovation knowledge,16.0,,,,,,,,,,,,,,,,,,
57,,0.25,Innovation Digital,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,37.0,17.0,business model innovation,17.0,,,,,,,,,,,,,,,,,,
58,,0.3,Innovation Digital,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,38.0,18.0,dynamic capabilities theoretical,18.0,,,,,,,,,,,,,,,,,,
59,,0.29,Corporate Venture Capital,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,39.0,19.0,financing disruptive technologies,19.0,,,,,,,,,,,,,,,,,,
60,,1.0,Digital Transformation,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,40.0,20.0,digital transformation,0.0,0.0,,,,,,,,,,,,,,,,,
61,,0.65,Innovation Digital,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,41.0,21.0,innovation digital,1.0,1.0,,,,,,,,,,,,,,,,,
62,,0.68,Innovation Digital,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,42.0,22.0,digital innovation,2.0,2.0,,,,,,,,,,,,,,,,,
63,,0.88,Digital Transformation,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,43.0,23.0,digital transformation business,3.0,3.0,,,,,,,,,,,,,,,,,
64,,0.22,Innovation Digital,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,44.0,24.0,business model iot,4.0,4.0,,,,,,,,,,,,,,,,,
65,,0.92,Digital Transformation,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,45.0,25.0,explore digital transformation,5.0,5.0,,,,,,,,,,,,,,,,,
66,,0.54,Innovation Digital,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,46.0,26.0,innovative businesses digital,6.0,6.0,,,,,,,,,,,,,,,,,
67,,0.92,Digital Transformation,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,47.0,27.0,ongoing digital transformation,7.0,7.0,,,,,,,,,,,,,,,,,
68,,0.62,Innovation Digital,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,48.0,28.0,embrace digital innovation,8.0,8.0,,,,,,,,,,,,,,,,,
69,,0.55,Innovation Digital,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,49.0,29.0,digital capabilities sme,9.0,9.0,,,,,,,,,,,,,,,,,
70,,0.11,Corporate Venture Capital,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,50.0,30.0,corporate venture capital,10.0,10.0,,,,,,,,,,,,,,,,,
71,,0.23,Innovation Digital,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,51.0,31.0,business model innova,11.0,11.0,,,,,,,,,,,,,,,,,
72,,0.62,Innovation Digital,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,52.0,32.0,businesses digital,12.0,12.0,,,,,,,,,,,,,,,,,
73,,0.3,Innovation Digital,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,53.0,33.0,service innovation capabilities,13.0,13.0,,,,,,,,,,,,,,,,,
74,,0.49,Innovation Digital,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,54.0,34.0,firm innovativeness digital,14.0,14.0,,,,,,,,,,,,,,,,,
75,,0.7,Digital Transformation,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,55.0,35.0,digital capabilities,15.0,15.0,,,,,,,,,,,,,,,,,
76,,0.5,Innovation Digital,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,56.0,36.0,digital innovation knowledge,16.0,16.0,,,,,,,,,,,,,,,,,
77,,0.25,Innovation Digital,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,57.0,37.0,business model innovation,17.0,17.0,,,,,,,,,,,,,,,,,
78,,0.3,Innovation Digital,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,58.0,38.0,dynamic capabilities theoretical,18.0,18.0,,,,,,,,,,,,,,,,,
79,,0.29,Corporate Venture Capital,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,59.0,39.0,financing disruptive technologies,19.0,19.0,,,,,,,,,,,,,,,,,
80,,0.75,Digital Transformation,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,40.0,digital transformation,20.0,0.0,0.0,,,,,,,,,,,,,,,,
81,,0.74,Digital Transformation,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,61.0,41.0,digital transformation public,21.0,1.0,1.0,,,,,,,,,,,,,,,,
82,,0.69,Digital Transformation,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,62.0,42.0,term digital transformation,22.0,2.0,2.0,,,,,,,,,,,,,,,,
83,,0.75,Digital Transformation,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,63.0,43.0,achieved digital transformation,23.0,3.0,3.0,,,,,,,,,,,,,,,,
84,,0.51,Transformation Public Administration,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,64.0,44.0,public administrations transforming,24.0,4.0,4.0,,,,,,,,,,,,,,,,
85,,0.57,Transformation Public Administration,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,65.0,45.0,transformation public administration,25.0,5.0,5.0,,,,,,,,,,,,,,,,
86,,0.45,Transformation Public Administration,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,66.0,46.0,transformational government,26.0,6.0,6.0,,,,,,,,,,,,,,,,
87,,0.28,Grounded Theory,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,67.0,47.0,grounded theory examines,27.0,7.0,7.0,,,,,,,,,,,,,,,,
88,,0.68,Transformation Public Administration,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,68.0,48.0,digital government transformational,28.0,8.0,8.0,,,,,,,,,,,,,,,,
89,,0.72,Digital Transformation,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,69.0,49.0,defining digital transformation,29.0,9.0,9.0,,,,,,,,,,,,,,,,
90,,0.65,Digital Transformation,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,70.0,50.0,results digital transformation,30.0,10.0,10.0,,,,,,,,,,,,,,,,
91,,0.75,Digital Transformation,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,71.0,51.0,approaching digital transformation,31.0,11.0,11.0,,,,,,,,,,,,,,,,
92,,0.73,Digital Transformation,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,72.0,52.0,digital transformation provide,32.0,12.0,12.0,,,,,,,,,,,,,,,,
93,,0.27,Grounded Theory,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,73.0,53.0,grounded theory,33.0,13.0,13.0,,,,,,,,,,,,,,,,
94,,0.74,Digital Transformation,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,74.0,54.0,digital transformation outcomes,34.0,14.0,14.0,,,,,,,,,,,,,,,,
95,,0.24,Grounded Theory,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,75.0,55.0,used grounded theory,35.0,15.0,15.0,,,,,,,,,,,,,,,,
96,,0.29,Grounded Theory,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,76.0,56.0,grounded theory approach,36.0,16.0,16.0,,,,,,,,,,,,,,,,
97,,0.26,Grounded Theory,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,77.0,57.0,grounded theory aims,37.0,17.0,17.0,,,,,,,,,,,,,,,,
98,,0.62,Digital Transformation,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,78.0,58.0,result digital transformation,38.0,18.0,18.0,,,,,,,,,,,,,,,,
99,,0.77,Digital Transformation,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,79.0,59.0,digital transformation experts,39.0,19.0,19.0,,,,,,,,,,,,,,,,
100,,0.75,Digital Transformation Leadership,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,60.0,digital transformation leadership,40.0,20.0,0.0,0.0,,,,,,,,,,,,,,,
101,,0.6,Digital Transformation Leadership,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,81.0,61.0,digital leadership,41.0,21.0,1.0,1.0,,,,,,,,,,,,,,,
102,,0.49,Digital Transformation Leadership,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,82.0,62.0,transformation leadership dtl,42.0,22.0,2.0,2.0,,,,,,,,,,,,,,,
103,,0.84,Digital Transformation Organisations,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,83.0,63.0,digital transformation organisations,43.0,23.0,3.0,3.0,,,,,,,,,,,,,,,
104,,0.64,Digital Transformation Leadership,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,84.0,64.0,digital leadership digital,44.0,24.0,4.0,4.0,,,,,,,,,,,,,,,
105,,0.42,Digital Transformation Organisations,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,85.0,65.0,data governance telecommunications,45.0,25.0,5.0,5.0,,,,,,,,,,,,,,,
106,,0.74,Digital Transformation Leadership,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,86.0,66.0,leadership digital transformation,46.0,26.0,6.0,6.0,,,,,,,,,,,,,,,
107,,0.79,Digital Transformation Leadership,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,87.0,67.0,digital transformation leaders,47.0,27.0,7.0,7.0,,,,,,,,,,,,,,,
108,,0.73,Digital Transformation Leadership,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,88.0,68.0,transformation leadership digital,48.0,28.0,8.0,8.0,,,,,,,,,,,,,,,
109,,0.51,Digital Transformation Leadership,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,89.0,69.0,strategist digital leaders,49.0,29.0,9.0,9.0,,,,,,,,,,,,,,,
110,,0.83,Digital Transformation Organisations,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,90.0,70.0,digital transformation executive,50.0,30.0,10.0,10.0,,,,,,,,,,,,,,,
111,,0.84,Digital Transformation Organisations,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,91.0,71.0,digital transformation strategic,51.0,31.0,11.0,11.0,,,,,,,,,,,,,,,
112,,0.78,Digital Transformation Organisations,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,92.0,72.0,transformation digital culturalist,52.0,32.0,12.0,12.0,,,,,,,,,,,,,,,
113,,0.91,Digital Transformation Organisations,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,93.0,73.0,leading digital transformation,53.0,33.0,13.0,13.0,,,,,,,,,,,,,,,
114,,0.45,Cdo Digital Workplace,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,94.0,74.0,digital officer cdo,54.0,34.0,14.0,14.0,,,,,,,,,,,,,,,
115,,0.5,Cdo Digital Workplace,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,95.0,75.0,cdo digital workplace,55.0,35.0,15.0,15.0,,,,,,,,,,,,,,,
116,,0.43,Cdo Digital Workplace,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,96.0,76.0,cdo digital strategist,56.0,36.0,16.0,16.0,,,,,,,,,,,,,,,
117,,0.34,Digital Transformation Organisations,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,97.0,77.0,data governance activities,57.0,37.0,17.0,17.0,,,,,,,,,,,,,,,
118,,0.44,Digital Transformation Organisations,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,98.0,78.0,ceo digital strategist,58.0,38.0,18.0,18.0,,,,,,,,,,,,,,,
119,,0.25,Cdo Digital Workplace,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,99.0,79.0,customer centricity develop,59.0,39.0,19.0,19.0,,,,,,,,,,,,,,,
120,,1.0,Digital Transformation,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,100.0,80.0,digital transformation,60.0,40.0,20.0,0.0,0.0,,,,,,,,,,,,,,
121,,0.65,Innovation Digital,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,101.0,81.0,innovation digital,61.0,41.0,21.0,1.0,1.0,,,,,,,,,,,,,,
122,,0.68,Innovation Digital,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,102.0,82.0,digital innovation,62.0,42.0,22.0,2.0,2.0,,,,,,,,,,,,,,
123,,0.88,Digital Transformation,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,103.0,83.0,digital transformation business,63.0,43.0,23.0,3.0,3.0,,,,,,,,,,,,,,
124,,0.22,Innovation Digital,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,104.0,84.0,business model iot,64.0,44.0,24.0,4.0,4.0,,,,,,,,,,,,,,
125,,0.92,Digital Transformation,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,105.0,85.0,explore digital transformation,65.0,45.0,25.0,5.0,5.0,,,,,,,,,,,,,,
126,,0.54,Innovation Digital,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,106.0,86.0,innovative businesses digital,66.0,46.0,26.0,6.0,6.0,,,,,,,,,,,,,,
127,,0.92,Digital Transformation,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,107.0,87.0,ongoing digital transformation,67.0,47.0,27.0,7.0,7.0,,,,,,,,,,,,,,
128,,0.62,Innovation Digital,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,108.0,88.0,embrace digital innovation,68.0,48.0,28.0,8.0,8.0,,,,,,,,,,,,,,
129,,0.55,Innovation Digital,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,109.0,89.0,digital capabilities sme,69.0,49.0,29.0,9.0,9.0,,,,,,,,,,,,,,
130,,0.11,Corporate Venture Capital,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,110.0,90.0,corporate venture capital,70.0,50.0,30.0,10.0,10.0,,,,,,,,,,,,,,
131,,0.23,Innovation Digital,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,111.0,91.0,business model innova,71.0,51.0,31.0,11.0,11.0,,,,,,,,,,,,,,
132,,0.62,Innovation Digital,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,112.0,92.0,businesses digital,72.0,52.0,32.0,12.0,12.0,,,,,,,,,,,,,,
133,,0.3,Innovation Digital,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,113.0,93.0,service innovation capabilities,73.0,53.0,33.0,13.0,13.0,,,,,,,,,,,,,,
134,,0.49,Innovation Digital,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,114.0,94.0,firm innovativeness digital,74.0,54.0,34.0,14.0,14.0,,,,,,,,,,,,,,
135,,0.7,Digital Transformation,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,115.0,95.0,digital capabilities,75.0,55.0,35.0,15.0,15.0,,,,,,,,,,,,,,
136,,0.5,Innovation Digital,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,116.0,96.0,digital innovation knowledge,76.0,56.0,36.0,16.0,16.0,,,,,,,,,,,,,,
